,candidate,freq,length,cap,start_of_sen,abbrv,all_cap,is_csl,title,has_no,date,is_apostrp,has_inter_punct,ends_verb,ends_adverb,change_in_cap,topic_ind,entry_time,entry_batch,@mention
1734,2017 otp,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,22:40:31,0,0
1735,throughout,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,22:40:33,0,0
1736,bharat st,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,22:40:51,0,0
1737,ignorant hypocrite,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,22:40:50,0,0
1738,skates,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,22:40:36,0,0
1739,tx,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,22:40:34,0,0
1740,waffle house,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,22:40:33,0,0
1741,yugoplane,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,22:40:32,0,0
1742,snl,3,1,3,0,3,3,0,0,0,0,0,0,0,0,0,0,22:40:33,0,0
1743,snl skit,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,22:40:33,0,0
1744,anderson cooper,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,22:40:34,0,2
1745,anderson cooper don lemon,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,22:40:45,0,0
1746,aapl,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,22:40:40,0,0
1747,confederate,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,22:40:31,0,0
1748,include jail time,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,22:40:39,0,0
1749,nicolas cage,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,22:40:34,0,0
1750,fortunately,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,22:40:35,0,0
1751,15yo,2,1,2,0,0,0,0,0,2,0,0,0,0,0,0,0,22:40:56,0,0
1752,pornhub,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,22:40:55,0,0
1753,elex day,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,22:40:31,0,0
1754,enough,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,22:40:33,0,0
1755,enough evidence,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,22:40:55,0,0
1756,word,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,22:40:37,0,0
1757,community.gif,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,22:40:35,0,0
1758,nov 8th,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,22:40:34,0,0
1759,nov 2016,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,22:40:31,0,0
1760,turnberry,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,22:40:33,0,0
1761,foundation,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,22:40:36,0,0
1762,diversity,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,22:40:53,0,0
1763,pittsburgh news former rep. anthony weiner,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,22:40:44,0,0
1764,gov,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,22:40:46,0,0
1765,age of wonders,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,22:40:31,0,0
1766,pizza pedo pal mike bean,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,22:40:35,0,0
1767,felicia,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,22:40:49,0,0
1768,greyhound,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,22:40:33,0,0
1769,prison,9,1,9,0,1,1,0,0,0,0,0,0,0,0,0,0,22:40:43,0,0
1770,prison break on air force one,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,22:40:34,0,0
1771,prison plane,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,22:40:32,0,0
1772,double standards,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,22:40:55,0,0
1773,children,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,22:40:49,0,0
1774,nonsensical news,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,22:40:30,0,0
1775,aaron sorkin,3,1,3,0,0,0,0,0,0,0,1,0,0,0,0,0,22:40:29,0,0
1776,17.05.17,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,22:40:30,0,0
1777,put,2,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,22:40:38,0,0
1778,put hillary away,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,22:40:55,0,0
1779,put hillary clinton away,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,22:40:56,0,0
1780,given,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,22:40:31,0,0
1781,poles,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,22:40:55,0,0
1782,sent weiner,3,1,3,3,0,0,0,0,0,0,0,0,0,0,3,0,22:40:42,0,0
1783,bermuda,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,22:40:30,0,0
1784,bermuda triangle,10,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,22:40:29,0,0
1785,white,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,22:40:41,0,0
1786,white bronco,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,22:40:32,0,0
1787,white air force 1s,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,22:40:31,0,0
1788,white house,230,1,230,6,0,0,0,0,0,0,1,2,0,0,0,0,22:40:29,0,4
